ma_geo_id	ma_vote_id	ctyvtd	statefp10	countyfp10	vtdst10	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	recordno	logrecno	county	vtd	name	precinct_code	town	prec_number	citizen	democrat	green	independent	libertarian	npa	other	reform	republican	unknown	total	dem_pct	vap	pop100
1251	"1931"	"17 3386"	25	17	"3386"	"250173386"	"A"	"Waltham Ward 9 Precinct 2"	"Waltham Ward 9 Precinct 2"	0	"G5240"	"N"	793947	25394	42.367516	-71.229004	70000000	135483	17	"3386"	"Waltham Ward 9 Precinct 2"	"WALTHAM-09-002"	"WALTHAM"	"09-002"	"0"	"575"	"2"	"0"	"2"	"722"	"10"	"0"	"133"	"0"	"1444"	"0.812146902"	2588	3207
1252	"1714"	"17 3316"	25	17	"3316"	"250173316"	"A"	"Somerville Ward 2 Precinct 1"	"Somerville Ward 2 Precinct 1"	0	"G5240"	"N"	890369	0	42.37728	-71.09225	70000000	129950	17	"3316"	"Somerville Ward 2 Precinct 1"	"SOMERVILLE-02-001"	"SOMERVILLE"	"02-001"	"0"	"1099"	"0"	"0"	"4"	"748"	"10"	"0"	"69"	"0"	"1930"	"0.940924644"	3341	3861
1253	"1715"	"17 3317"	25	17	"3317"	"250173317"	"A"	"Somerville Ward 2 Precinct 2"	"Somerville Ward 2 Precinct 2"	0	"G5240"	"N"	347637	0	42.377396	-71.10152	70000000	130035	17	"3317"	"Somerville Ward 2 Precinct 2"	"SOMERVILLE-02-002"	"SOMERVILLE"	"02-002"	"0"	"1227"	"0"	"0"	"1"	"850"	"16"	"0"	"82"	"1"	"2177"	"0.93735677"	3288	3577
1254	"1716"	"17 3318"	25	17	"3318"	"250173318"	"A"	"Somerville Ward 2 Precinct 3"	"Somerville Ward 2 Precinct 3"	0	"G5240"	"N"	543866	0	42.382793	-71.107895	70000000	130079	17	"3318"	"Somerville Ward 2 Precinct 3"	"SOMERVILLE-02-003"	"SOMERVILLE"	"02-003"	"0"	"1226"	"0"	"0"	"3"	"960"	"22"	"0"	"112"	"1"	"2324"	"0.916292965"	3561	3879
1255	"1717"	"17 3319"	25	17	"3319"	"250173319"	"A"	"Somerville Ward 3 Precinct 1"	"Somerville Ward 3 Precinct 1"	0	"G5240"	"N"	374366	0	42.382202	-71.09468	70000000	130143	17	"3319"	"Somerville Ward 3 Precinct 1"	"SOMERVILLE-03-001"	"SOMERVILLE"	"03-001"	"0"	"1251"	"0"	"0"	"1"	"789"	"16"	"0"	"72"	"0"	"2129"	"0.945578218"	3214	3609
1256	"1718"	"17 3320"	25	17	"3320"	"250173320"	"A"	"Somerville Ward 3 Precinct 2"	"Somerville Ward 3 Precinct 2"	0	"G5240"	"N"	445297	0	42.38681	-71.09994	70000000	130187	17	"3320"	"Somerville Ward 3 Precinct 2"	"SOMERVILLE-03-002"	"SOMERVILLE"	"03-002"	"0"	"1155"	"0"	"0"	"2"	"810"	"13"	"0"	"84"	"1"	"2065"	"0.932203412"	3020	3450
1257	"1719"	"17 3321"	25	17	"3321"	"250173321"	"A"	"Somerville Ward 3 Precinct 3"	"Somerville Ward 3 Precinct 3"	0	"G5240"	"N"	388156	0	42.38708	-71.10917	70000000	130227	17	"3321"	"Somerville Ward 3 Precinct 3"	"SOMERVILLE-03-003"	"SOMERVILLE"	"03-003"	"0"	"1270"	"0"	"0"	"2"	"945"	"14"	"0"	"119"	"0"	"2350"	"0.914326847"	3150	3369
1258	"1720"	"17 3322"	25	17	"3322"	"250173322"	"A"	"Somerville Ward 4 Precinct 1"	"Somerville Ward 4 Precinct 1"	0	"G5240"	"N"	486422	71072	42.397057	-71.089226	70000000	130273	17	"3322"	"Somerville Ward 4 Precinct 1"	"SOMERVILLE-04-001"	"SOMERVILLE"	"04-001"	"0"	"849"	"0"	"0"	"2"	"555"	"5"	"0"	"71"	"0"	"1482"	"0.922826111"	2633	3593
1259	"1721"	"17 3323"	25	17	"3323"	"250173323"	"A"	"Somerville Ward 4 Precinct 2"	"Somerville Ward 4 Precinct 2"	0	"G5240"	"N"	345352	0	42.391495	-71.09235	70000000	130334	17	"3323"	"Somerville Ward 4 Precinct 2"	"SOMERVILLE-04-002"	"SOMERVILLE"	"04-002"	"0"	"841"	"0"	"0"	"2"	"621"	"15"	"0"	"95"	"0"	"1574"	"0.898504257"	3138	3793
1260	"1722"	"17 3324"	25	17	"3324"	"250173324"	"A"	"Somerville Ward 4 Precinct 3"	"Somerville Ward 4 Precinct 3"	0	"G5240"	"N"	369513	0	42.393833	-71.09708	70000000	130380	17	"3324"	"Somerville Ward 4 Precinct 3"	"SOMERVILLE-04-003"	"SOMERVILLE"	"04-003"	"0"	"994"	"0"	"0"	"2"	"706"	"9"	"0"	"108"	"0"	"1819"	"0.901996374"	2923	3425
1261	"1723"	"17 3325"	25	17	"3325"	"250173325"	"A"	"Somerville Ward 5 Precinct 1"	"Somerville Ward 5 Precinct 1"	0	"G5240"	"N"	418723	0	42.392746	-71.10285	70000000	130429	17	"3325"	"Somerville Ward 5 Precinct 1"	"SOMERVILLE-05-001"	"SOMERVILLE"	"05-001"	"0"	"1234"	"0"	"0"	"2"	"938"	"7"	"0"	"82"	"0"	"2263"	"0.93768996"	3200	3656
1262	"1724"	"17 3326"	25	17	"3326"	"250173326"	"A"	"Somerville Ward 5 Precinct 2"	"Somerville Ward 5 Precinct 2"	0	"G5240"	"N"	462014	0	42.396255	-71.10891	70000000	130480	17	"3326"	"Somerville Ward 5 Precinct 2"	"SOMERVILLE-05-002"	"SOMERVILLE"	"05-002"	"0"	"1115"	"0"	"0"	"5"	"912"	"7"	"0"	"96"	"0"	"2135"	"0.920726657"	2915	3300
1263	"1945"	"17 3387"	25	17	"3387"	"250173387"	"A"	"Watertown Precinct 1"	"Watertown Precinct 1"	0	"G5240"	"N"	2219606	129582	42.366364	-71.15144	70000000	135576	17	"3387"	"Watertown Precinct 1"	"WATERTOWN-001"	"WATERTOWN"	"1"	"0"	"651"	"0"	"0"	"0"	"832"	"7"	"0"	"121"	"0"	"1611"	"0.843264222"	2269	2564
1264	"1954"	"17 3396"	25	17	"3396"	"250173396"	"A"	"Watertown Precinct 10"	"Watertown Precinct 10"	0	"G5240"	"N"	1386014	47011	42.369946	-71.20456	70000000	136162	17	"3396"	"Watertown Precinct 10"	"WATERTOWN-010"	"WATERTOWN"	"10"	"0"	"869"	"0"	"0"	"1"	"900"	"16"	"0"	"145"	"0"	"1931"	"0.85700196"	2438	2917
